src_ip,src_port,dst_ip,dst_port,proto,pktTotalCount,octetTotalCount,min_ps,max_ps,avg_ps,std_dev_ps,flowStart,flowEnd,flowDuration,min_piat,max_piat,avg_piat,std_dev_piat
2800:3f0:4005:400::2003,443,2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52565,6,19,2708,20,978,142.52631578947367,248.8553518604422,1669046129.895557,1669046175.378793,45.48323607444763,0.0,45.10266399383545,2.526846448580424,10.326197667700901
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,51829,2800:5f0:1000:10::2,53,17,2,78,39,39,39.0,0.0,1669046130.137841,1669046130.137861,2.002716064453125e-05,2.002716064453125e-05,2.002716064453125e-05,2.002716064453125e-05,0.0
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,51829,2800:5f0:800:10::2,53,17,2,78,39,39,39.0,0.0,1669046130.16801,1669046130.168033,2.288818359375e-05,2.288818359375e-05,2.288818359375e-05,2.288818359375e-05,0.0
2800:5f0:1000:10::2,53,2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,51829,17,1,207,207,207,207,0.0,1669046130.186194,1669046130.186194,0,0,0,0,0
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52568,2406:da00:ff00::22c0:3470,443,6,38,4160,20,543,109.47368421052632,154.93780362355005,1669046130.188868,1669046133.027095,2.8382270336151123,5.0067901611328125e-06,1.6000862121582031,0.07670883874635438,0.2716842591750893
2406:da00:ff00::22c0:3470,443,2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52568,6,19,6459,20,1440,339.94736842105266,514.9171086775659,1669046130.262195,1669046133.026901,2.7647058963775635,0.0,1.7670159339904785,0.15359477202097574,0.41796880540238834
192.168.1.5,52228,104.192.142.20,443,6,1177,1058463,40,1492,899.2888700084961,662.3452511811906,1669046130.523329,1669046194.10618,63.58285093307495,0.0,42.679563999176025,0.054067050113158974,1.261535037888106
104.192.142.20,443,192.168.1.5,52228,6,694,235096,40,1492,338.7550432276657,520.3797360381905,1669046130.59593,1669046194.182176,63.58624601364136,0.0,42.677374839782715,0.09175504475272923,1.6424523016900294
192.168.1.5,52904,54.90.223.72,443,6,38,2722,40,96,71.63157894736842,26.984811568763305,1669046130.79024,1669046200.938333,70.1480929851532,5.0067901611328125e-06,9.887293815612793,1.8958944050041404,3.4111488040473414
192.168.1.5,52739,20.82.9.244,443,6,14,777,40,71,55.5,15.5,1669046130.79024,1669046209.012046,78.22180604934692,1.7881393432617188e-05,25.80334496498108,6.0170620037959175,10.831828812932502
54.90.223.72,443,192.168.1.5,52904,6,19,2340,40,1172,123.15789473684211,248.69369516861602,1669046130.870694,1669046200.894892,70.02419805526733,0.0,10.006608963012695,3.8902332252926297,4.134966151557643
20.82.9.244,443,192.168.1.5,52739,6,7,380,40,65,54.285714285714285,12.371791482634839,1669046130.947113,1669046208.958039,78.01092600822449,0.0,26.015124082565308,13.001821001370748,13.00182332643074
192.168.1.5,52333,35.244.189.186,443,6,14,763,40,69,54.5,14.5,1669046131.293359,1669046206.722274,75.42891502380371,1.5020370483398438e-05,24.957993984222412,5.8022242326002855,10.490839322362042
35.244.189.186,443,192.168.1.5,52333,6,8,420,40,65,52.5,12.5,1669046131.308238,1669046206.670651,75.36241292953491,0.06289386749267578,25.02632713317871,10.766058989933558,12.345978013565936
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,64835,2800:3f0:4005:401::200a,443,17,21,1331,41,274,63.38095238095238,68.33633641982462,1669046131.640444,1669046196.900507,65.26006293296814,1.2874603271484375e-05,14.984316110610962,3.263003146648407,5.251989396400069
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52569,2406:da00:ff00::22ee:e721,443,6,18,2088,20,296,116.0,112.90802549961727,1669046131.647379,1669046132.236294,0.5889151096343994,5.0067901611328125e-06,0.13287901878356934,0.03464206527261173,0.04666724129344727
2406:da00:ff00::22ee:e721,443,2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52569,6,10,6715,20,1440,671.5,595.9075851170213,1669046131.727601,1669046132.135503,0.4079020023345947,0.0,0.11981415748596191,0.04532244470384386,0.04873207616358733
2800:3f0:4005:401::200a,443,2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,64835,17,12,669,33,93,55.75,26.652470179453662,1669046131.761543,1669046196.873952,65.11240887641907,0.0,15.13057804107666,5.919309897856279,5.896178536285393
192.168.1.5,52926,54.232.34.114,443,6,39,2762,40,96,70.82051282051282,27.10177569626871,1669046131.795242,1669046202.743425,70.9481828212738,1.5020370483398438e-05,9.806928873062134,1.8670574426651,3.174986738189658
54.232.34.114,443,192.168.1.5,52926,6,19,2292,40,1124,120.63157894736842,238.04205964632555,1669046131.931972,1669046202.695122,70.76314997673035,0.0,10.002591133117676,3.9312861098183527,3.7996004091412514
54.175.191.204,443,192.168.1.5,61460,6,6,264,40,52,44.0,5.656854249492381,1669046132.081709,1669046203.815341,71.73363208770752,4.616185903549194,22.03211808204651,14.346726417541504,6.8902901579599085
192.168.1.5,61460,54.175.191.204,443,6,12,484,40,41,40.333333333333336,0.4714045207910317,1669046132.081886,1669046203.74338,71.66149401664734,6.198883056640625e-06,22.0321261882782,6.514681274240667,8.528515486472138
192.168.1.6,5353,224.0.0.251,5353,17,4,356,89,89,89.0,0.0,1669046132.50939,1669046192.523083,60.01369285583496,20.002370834350586,20.008336067199707,20.00456428527832,0.0026788489170040974
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52400,2800:3f0:4005:400::2003,443,6,4,84,21,21,21.0,0.0,1669046132.513916,1669046177.606762,45.09284591674805,1.6927719116210938e-05,45.09280014038086,15.030948638916016,21.25693905170934
2800:3f0:4005:400::2003,443,2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52400,6,2,64,32,32,32.0,0.0,1669046132.603793,1669046177.693409,45.08961606025696,45.08961606025696,45.08961606025696,45.08961606025696,0.0
54.175.191.203,443,192.168.1.5,61459,6,6,264,40,52,44.0,5.656854249492381,1669046133.160623,1669046202.138013,68.97738981246948,3.4275479316711426,21.513512134552002,13.795477962493896,7.73166429457551
192.168.1.5,61459,54.175.191.203,443,6,12,484,40,41,40.333333333333336,0.4714045207910317,1669046133.160819,1669046202.065194,68.90437483787537,1.0013580322265625e-05,21.513510942459106,6.264034076170488,8.63502649279513
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52487,2800:3f0:4005:401::2004,443,6,14,812,20,206,58.0,62.71477383474214,1669046133.506093,1669046191.151349,57.64525604248047,5.0067901611328125e-06,45.09500288963318,4.43425046480619,12.182084056034268
2800:3f0:4005:401::2004,443,2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52487,6,9,965,20,672,107.22222222222223,200.25693372808055,1669046133.59044,1669046191.236665,57.64622497558594,0.0,45.08885192871094,7.205778121948242,14.869881031062828
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,64200,2800:5f0:1000:10::2,53,17,2,98,49,49,49.0,0.0,1669046133.948698,1669046133.948712,1.4066696166992188e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.4066696166992188e-05,0.0
2800:5f0:1000:10::2,53,2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,64200,17,1,77,77,77,77,0.0,1669046133.951804,1669046133.951804,0,0,0,0,0
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,61135,2800:3f0:4005:40b::200e,443,17,16,4172,41,1238,260.75,398.2485875681168,1669046133.953175,1669046134.186789,0.2336139678955078,5.0067901611328125e-06,0.14310193061828613,0.015574264526367187,0.03619169877425723
2800:3f0:4005:40b::200e,443,2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,61135,17,10,4030,33,1238,403.0,469.5367930205257,1669046134.067735,1669046134.276594,0.20885896682739258,0.0,0.09041690826416016,0.023206551869710285,0.0315416073966362
54.175.191.205,443,192.168.1.5,61455,6,6,264,40,52,44.0,5.656854249492381,1669046134.150668,1669046204.46977,70.3191020488739,2.7036468982696533,22.52959704399109,14.063820409774781,9.316897596957899
192.168.1.5,61455,54.175.191.205,443,6,12,484,40,41,40.333333333333336,0.4714045207910317,1669046134.150787,1669046204.395939,70.24515199661255,5.9604644775390625e-06,22.529643058776855,6.385922908782959,9.422135780323943
